Id,Designator,Package,Quantity,Designation,NOTES
1,J2,USB_MINI_SMD,1,USB_MINI,
2,U3,TQFP44,1,PIC24FJ32GB004,
3,U2,SOT223,1,SPX1117-M3,
4,U1,SOT223,1,LD1117S50,
5,"C12,C2,C1",SM0805,3,10uF,
6,"R13,R12,R11,R4",SM0603,4,1K,
7,"R10,R9",SM0603,2,0 Ohm,
8,"R8,R7",SM0603,2,0 Ohm,
9,"R6,R2",SM0603,2,47K,
10,R5,SM0603,1,0.160K,
11,R3,SM0603,1,100K,
12,"R1,R14",SM0603,2,0.390K,
13,L1,SM0603,1,FERRITE,
14,"C3,C5,C6,C7",SM0603,4,1uF,
15,"C8,C9,C10,C13",SM0603,4,0.1uF,
16,K1,SIL-3,1,Ext/USB_PWR,
17,"P2,P3",SIL-20,2,CONN_20,DNP
18,"X3,X1",SIL-2,2,DNP,DNP
19,P1,SIL-2,1,BYP_5VREG,
20,J1,SIL-2,1,AUX_IN,DNP
21,J3,Power_Jack_2.1mm,1,POWER_JACK,
22,D1,LED-0603,1,5V_Green_LED,
23,D2,LED-0603,1,3.3V_Green_LED,
24,C4,CP_R_2.5mm,1,220uF,
25,"C14,C15,C16,C17",C1,4,DNP,DNP
26,SW1,SW_6MM_SMD,1,RESET,
27,H1,ICSP_1.5MM_Mini,1,ICSP,DNP
28,"4-40,4-40,4-40,4-40",1pin,4,P***,Screw holes
29,D4,SOD-123,1,MBR120VLSFT1,
30,D3,LED-0603,1,POL_REV_RED,
,,,,,
32,C11,SM0805,1,4.7uF,
33,L2,SM0805,1,FERRITE,
